username,password,signature,fullname,number,ccv,street,city,zip,month,year
oscar@yvrmail.net,banana12!@#,OZ,oscar zhu,4.52E+15,500,2798 E 44th Ave,Vancouver,V5R3A4,11,2023
terry@yvrmail.net,banana12!@#,AB,oscar zhu,4.52E+15,500,2800 E 44th Ave,Vancouver,V5R3A6,11,2023
riley@yvrmail.net,banana12!@#,CD,oscar zhu,4.52E+15,500,2801 E 44th Ave,Vancouver,V5R3A7,11,2023
brook@yvrmail.net,banana12!@#,EF,oscar zhu,4.52E+15,500,2802 E 44th Ave,Vancouver,V5R3A8,11,2023
kevin@yvrmail.net,banana12!@#,GH,oscar zhu,4.52E+15,500,2803 E 44th Ave,Vancouver,V5R3A9,11,2023
lesley@yvrmail.net,Banana12!@#,IJ,oscar zhu,4.52E+15,500,2804 E 44th Ave,Vancouver,V5R3A10,11,2023
kyrie@yvrmail.net,banana12!@#,KL,oscar zhu,4.52E+15,500,2805 E 44th Ave,Vancouver,V5R3A11,11,2023
yang@yvrmail.net,Banana12!@#,MN,oscar zhu,4.52E+15,500,2806 E 44th Ave,Vancouver,V5R3A12,11,2023
lana@yvrmail.net,banana12!@#,OP,oscar zhu,4.52E+15,500,2807 E 44th Ave,Vancouver,V5R3A13,11,2023
yan@yvrmail.net,banana12!@#,QR,oscar zhu,4.52E+15,500,2808 E 44th Ave,Vancouver,V5R3A14,11,2023
ying@yvrmail.net,banana12!@#,ST,oscar zhu,4.52E+15,500,2809 E 44th Ave,Vancouver,V5R3A15,11,2023
lebron@yvrmail.net,banana12!@#,UV,oscar zhu,4.52E+15,500,2810 E 44th Ave,Vancouver,V5R3A16,11,2023
gilbert@yvrmail.net,banana12!@#,WX,,,,,,,,
blake@yvrmail.net,banana12!@#,YZ,,,,,,,,
calvin@yvrmail.net,Banana12!@#,FG,,,,,,,,
wesley@yvrmail.net,Banana12!@#,TY,,,,,,,,
toby@yvrmail.net,Banana12!@#,QE,,,,,,,,
peter@yvrmail.net,banana12!@#,SF,,,,,,,,
vishay@yvrmail.net,banana12!@#,RH,,,,,,,,
brian@yvrmail.net,banana12!@#,DV,,,,,,,,
